accuracy       [n.准确(性)，精确(性)]
decline        [n.下降;衰落; 减少; 最后部分 v.下降, 下跌; 衰退, 衰落; 减少; 倾斜; 婉拒]
decorate       [v.装饰, 修饰; 油漆; 粉刷; 授勋给]
defect         [n.缺点，缺陷；不足之处 vi.变节；叛变]
defence        [n.防御,保卫;防御物;辩护,答辩]
defend         [vi.保卫；防守 vt.辩护；防护]
delegate       [n.代表 vt.委派…为代表]
deliberate     [adj.故意的；深思熟虑的；从容的 vt.仔细考虑；商议]
dependent      [n.依赖他人者；受赡养者 adj.依靠的；从属的；取决于…的]
deposit        [n.存款；保证金；沉淀物 vt.放置；使沉积；存钱]
derive         [vt.取得，得到;追溯…的起源 vi.(from)起源，衍生]
descend        [vt.&vi.传下来，下来，下降]
desert         [n.沙漠，不毛之地]
despair        [vi.灰心丧气，感到沮丧绝望 n.绝望，沮丧]
destination    [n.目的地]
destiny        [n.命运]
destroy        [vt.破坏，摧毁; 消灭，扑灭; 打破，粉碎]
detect         [vt.发现，察觉]
develop        [vt.发展，形成;开发，研制;(逐渐)显现出，显影 vi.发展;成长，发育]
devise         [v.设计,发明]
diagram        [n.图解，简图，图表]
dialect        [n.方言，某地方的语言]
dialog         [n.对话，对白]
dialogue       [n.对话，谈话，对白]
diary          [n.日记簿，日记]
dictation      [n.口授笔录，听写]
digest         [vt.&vi.消化 n.摘要，文摘]
dim            [a.昏暗的; 朦胧的，模糊不清的]
dimension      [n.尺寸，长(或宽、深、厚)度;(常 p;)大小，程度]
diminish       [v.缩小，减少，递减]
diplomatic     [adj.外交的，从事外交的; 策略的，有手腕的]
direct         [adj.直的;率直的;直接的 adv.直接地;坦率地 vt.把…对准，针对;指示;管理，指导]
director       [n.主任;厂长，院长等; 导演，指导者]
dirt           [n.污秽，土，尘]
disclose       [vt.透露，揭示，泄露]
discussion     [n.讨论，谈论]
dismiss        [vt.解雇，使离职，开除; 解散，使退去]
disposal       [n.丢掉，销毁]
dissatisfy     [vt.使不满足]
distance       [n.距离，间距]
distinction    [n.差别,不同,对比;区分,辨别]
distribute     [v.; 分配，散发，分给; 分布，散布]
district       [n.地区，区，行政区]
disturb        [vt.扰乱，弄乱，妨碍; 打扰，使焦灼不安]
divide         [vt.分，划分;分配;隔开;(by)除]
dominant       [adj.占优势的，支配的，统治的]
dormitory      [n.(集体)宿舍]
doubt          [n.疑惑，疑问 v.怀疑，不相信]
drift          [v.(使)漂流n.漂流]
drought        [n.旱灾，干旱，久旱]
dry            [adj.干的，干旱的 vt.使干，晒干]
dull           [adj.迟钝的，蠢笨的; 沉闷无聊的，单调的，暗晦的]
dusk           [n.暮色，黄昏，幽暗]
dynamic        [adj.有活力的;动力的；n.动力学]
earthquake     [n.地震]
ease           [vt.&vi.缓和，减轻，使安心，松开 n.舒适，安逸，安心; 容易，不费事，轻易]
easily         [ad.容易地，不费力地]
economical     [adj.节约的, 节俭的]
efficient      [adj.效率很高，有能力的]
electric       [adj.电动的，电的]
electrical     [adj.与电有关的，电气科学的]
electron       [n.电子]
elegant        [adj.优美的，文雅的，讲究的; 简练的，简洁的]
elephant       [n.象]
empire         [n.帝国]
enemy          [n.敌人，仇敌，敌军]
enter          [v.进入;参加，加入;开始从事;登录，写入]
equality       [n.等同，平等]
evaluate       [v.评价，估价]
evident        [adj.明显的，显然的，明白的]
excel          [vt.胜过，优于]
extreme        [adj.极端的，极其，极度的; 在尽头的，最远的，末端的]
familiar       [adj.熟悉的，通晓的;冒味的，放肆的]
fare           [n.费；票价；乘客；食物 vi.吃；进食；进展；遭遇]
France         [n.法国]
friendly       [adj.友好的，友谊的]
frustrate      [vt.使(某人)灰心，使恼怒而不知所措; 使(计划、人等)受挫折，挫败]
gentle         [adj.文雅的，柔和的; 出身高贵的]
goose          [n.鹅]
grade          [n.等级，年级; 分数 v.分级]
grateful       [adj.感激的，感谢的]
hasty          [adj.急速的，匆忙的，草率的]
honour         [n.光荣，荣誉 v.给...以荣誉; 向...表示敬意，尊敬]
horrible       [adj.可怕的，令人毛骨耸然的; 令人讨厌的、糟透的]
humble         [a.谦逊的，谦虚的;地位(或身份)低下的; 恭顺的]
humo(u)r       [n.幽默，诙谐;情绪]
humorous       [adj.幽默的，有幽默感的]
hydrogen       [n.氢，氢气]
identify       [v.等同，认为…一致，认出，识别]
idle           [a.空闲的，闲着的;懒散的，无所事事的;无用的，无效的 v.虚度，懒散的，无所事事]
immediate      [adj.立即的，即时的; 直接的，最接近的]
implement      [vt.使生效，执行，实施; n.工具,用具]
implication    [n.含意;暗示]
impose         [vt.强加，强迫; 征税]
indifferent    [adj.不感兴趣的，冷漠的]
indispensable  [adj.不可缺少的，必需的]
individual     [n.个人，个体; adj.个别的，单独的]
industrial     [adj.工业的，产业的]
inevitable     [adj.必然的，不可避免的]
inflation      [n.胀大，夸张，通货膨胀]
influential    [adj.有影响的，有势力的]
ingredient     [n.因素，要素; 成分，原料]
inherit        [v.继承，接受遗产]
initial        [n.( p;)首字母；adj.最初的，开始的]
initiative     [n.主动性; 主动，积极; 主动权 adj.自发的]
injure         [vt.损害，伤害]
inquire        [v.询问，查问，打听]
instruct       [v.指示;命令;吩咐;教授，传授(技能等);告知;通知]
insure         [v.保险，给…保险; 保证使…..得到]
integrate      [v.使合而为一，使合并，使成一体]
intellectual   [adj.智力的，用脑筋的 n.知识分子]
intense        [adj.加强的，密集的]
intentional    [adj.有意(识)的，故意的]
interior       [adj.内部的]
intermediate   [adj.中间的]
interpretation [n.解释，阐明，口译]
inward         [adj.里面的，内在的，向内的]
Italian        [a.意大利的 n.意大利人，意大利语]
jam            [n.果酱;拥挤，堵塞，卡住 v.堵塞，(使)卡住，挤满]
join           [v.接合，结合，连接; 加入，参加]
journal        [n.日报，期刊，杂志; 日记，日志]
journey        [n.旅行]
judg(e)ment    [n.判断力;识别力;看法;意见;评价;判决;裁决]
junior         [adj.年少的，年幼的; 下级的 n.大学三年级的学生：]
justice        [n.公正，公道；审判，司法]
kindergarten   [n.幼儿园]
kitchen        [n.厨房]
knit           [v.编织，结合，粘合]
knock          [n.&v.敲，敲打，碰撞]
knot           [n.结，结疤]
lamp           [n.灯]
league         [n.同盟，联盟; 协会，社团]
learned        [a.有学问的，博学的]
least          [a.最少的，最小的 ad.最少，最小]
lecture        [n.演讲，讲课]
legacy         [n.遗产，遗赠（物）]
legend         [n.传说，传奇]
legislation    [n.法律，法规; 制定法律，立法]
lessen         [v.减少，减轻，缩小]
liberal        [adj.慷慨的，大方的; 丰富的，充足的; 自由的，思想开明的]
liberate       [v.解放，使获自由]
liberty        [n.自由]
librarian      [n.图书管理员]
library        [n.图书馆，藏书; 丛书]
limitation     [n.限制，限度，局限性]
liquor         [n.酒]
literature     [n.文学，文学作品; 文献]
lobby          [n.前厅，（会议）休息厅]
